category,admin_unit,name,year,variable,variable_full,value,unit,source,url,flag
transport,city,Budapest,2014,other,Transport modal split,NA,percent,"BALÁZS MÓR PLAN 2014–2030, Budapest Mobility Plan, Volume I: Objectives and Measures",http://www.sump-challenges.eu/sites/www.sump-challenges.eu/files/bmt2016_eng_v3.pdf,
transport,city,Budapest,2014,cycling & other,Transport modal split,2,percent,"BALÁZS MÓR PLAN 2014–2030, Budapest Mobility Plan, Volume I: Objectives and Measures",http://www.sump-challenges.eu/sites/www.sump-challenges.eu/files/bmt2016_eng_v3.pdf,
transport,city,Katowice,2015,walk,Transport modal split,30.8,percent,Wieloletni plan rozwoju zintegrowanego systemu transportowego miasta Katowice 2015,http://www.sitk.org.pl/wp-content/uploads/2016/02/Broszura-informacyjna.pdf,
transport,city,Katowice,2015,car,Transport modal split,43.3,percent,Wieloletni plan rozwoju zintegrowanego systemu transportowego miasta Katowice 2015,http://www.sitk.org.pl/wp-content/uploads/2016/02/Broszura-informacyjna.pdf,
transport,city,Katowice,2015,public transport,Transport modal split,24.5,percent,Wieloletni plan rozwoju zintegrowanego systemu transportowego miasta Katowice 2015,http://www.sitk.org.pl/wp-content/uploads/2016/02/Broszura-informacyjna.pdf,
transport,city,Katowice,2015,cycling,Transport modal split,1.4,percent,Wieloletni plan rozwoju zintegrowanego systemu transportowego miasta Katowice 2015,http://www.sitk.org.pl/wp-content/uploads/2016/02/Broszura-informacyjna.pdf,
transport,city,Katowice,2015,other,Transport modal split,NA,percent,Wieloletni plan rozwoju zintegrowanego systemu transportowego miasta Katowice 2015,http://www.sitk.org.pl/wp-content/uploads/2016/02/Broszura-informacyjna.pdf,
transport,city,Katowice,2015,cycling & other,Transport modal split,NA,percent,Wieloletni plan rozwoju zintegrowanego systemu transportowego miasta Katowice 2015,http://www.sitk.org.pl/wp-content/uploads/2016/02/Broszura-informacyjna.pdf,
transport,city,Prague,2016,walk,Transport modal split,26,percent,Prague Transportation Yearbook 2016,http://www.tsk-praha.cz/static/udi-rocenka-2016-en.pdf,
transport,city,Prague,2016,car,Transport modal split,29,percent,Prague Transportation Yearbook 2016,http://www.tsk-praha.cz/static/udi-rocenka-2016-en.pdf,
transport,city,Prague,2016,public transport,Transport modal split,42,percent,Prague Transportation Yearbook 2016,http://www.tsk-praha.cz/static/udi-rocenka-2016-en.pdf,
transport,city,Prague,2016,cycling,Transport modal split,1,percent,Prague Transportation Yearbook 2016,http://www.tsk-praha.cz/static/udi-rocenka-2016-en.pdf,
transport,city,Prague,2016,other,Transport modal split,2,percent,Prague Transportation Yearbook 2016,http://www.tsk-praha.cz/static/udi-rocenka-2016-en.pdf,
transport,city,Prague,2016,cycling & other,Transport modal split,3,percent,Prague Transportation Yearbook 2016,http://www.tsk-praha.cz/static/udi-rocenka-2016-en.pdf,
transport,city,Warsaw,2015,walk,Transport modal split,17.9,percent,Warszawskie Badanie Ruchu 2015,http://transport.um.warszawa.pl/warszawskie-badanie-ruchu-2015/wyniki-wbr-2015,
transport,city,Warsaw,2015,car,Transport modal split,31.7,percent,Warszawskie Badanie Ruchu 2015,http://transport.um.warszawa.pl/warszawskie-badanie-ruchu-2015/wyniki-wbr-2015,
transport,city,Warsaw,2015,public transport,Transport modal split,46.8,percent,Warszawskie Badanie Ruchu 2015,http://transport.um.warszawa.pl/warszawskie-badanie-ruchu-2015/wyniki-wbr-2015,
transport,city,Warsaw,2015,cycling,Transport modal split,3.1,percent,Warszawskie Badanie Ruchu 2015,http://transport.um.warszawa.pl/warszawskie-badanie-ruchu-2015/wyniki-wbr-2015,
transport,city,Warsaw,2015,other,Transport modal split,0.5,percent,Warszawskie Badanie Ruchu 2015,http://transport.um.warszawa.pl/warszawskie-badanie-ruchu-2015/wyniki-wbr-2015,
transport,city,Warsaw,2015,cycling & other,Transport modal split,3.6,percent,Warszawskie Badanie Ruchu 2015,http://transport.um.warszawa.pl/warszawskie-badanie-ruchu-2015/wyniki-wbr-2015,
economy,metropolitan region,Prague,2000,gdp_share,GDP of the metropolitan area as a share of national value,27.64,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Prague,2001,gdp_share,GDP of the metropolitan area as a share of national value,28.07,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Prague,2002,gdp_share,GDP of the metropolitan area as a share of national value,28.44,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Prague,2003,gdp_share,GDP of the metropolitan area as a share of national value,28.96,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Prague,2004,gdp_share,GDP of the metropolitan area as a share of national value,29.08,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Prague,2005,gdp_share,GDP of the metropolitan area as a share of national value,29.39,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Prague,2006,gdp_share,GDP of the metropolitan area as a share of national value,29.72,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Prague,2007,gdp_share,GDP of the metropolitan area as a share of national value,30.36,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Prague,2008,gdp_share,GDP of the metropolitan area as a share of national value,30.82,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Prague,2009,gdp_share,GDP of the metropolitan area as a share of national value,30.69,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Prague,2010,gdp_share,GDP of the metropolitan area as a share of national value,30.85,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Prague,2011,gdp_share,GDP of the metropolitan area as a share of national value,30.28,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Prague,2012,gdp_share,GDP of the metropolitan area as a share of national value,30.13,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Prague,2013,gdp_share,GDP of the metropolitan area as a share of national value,30.31,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Berlin,2000,gdp_share,GDP of the metropolitan area as a share of national value,4.83,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Berlin,2001,gdp_share,GDP of the metropolitan area as a share of national value,4.77,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Berlin,2002,gdp_share,GDP of the metropolitan area as a share of national value,4.71,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Berlin,2003,gdp_share,GDP of the metropolitan area as a share of national value,4.66,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Berlin,2004,gdp_share,GDP of the metropolitan area as a share of national value,4.59,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Berlin,2005,gdp_share,GDP of the metropolitan area as a share of national value,4.63,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Berlin,2006,gdp_share,GDP of the metropolitan area as a share of national value,4.63,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Berlin,2007,gdp_share,GDP of the metropolitan area as a share of national value,4.64,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Berlin,2008,gdp_share,GDP of the metropolitan area as a share of national value,4.77,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Berlin,2009,gdp_share,GDP of the metropolitan area as a share of national value,4.99,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Berlin,2010,gdp_share,GDP of the metropolitan area as a share of national value,4.94,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Berlin,2011,gdp_share,GDP of the metropolitan area as a share of national value,4.93,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Berlin,2012,gdp_share,GDP of the metropolitan area as a share of national value,4.92,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Budapest,2000,gdp_share,GDP of the metropolitan area as a share of national value,42.61,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Budapest,2001,gdp_share,GDP of the metropolitan area as a share of national value,43.28,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Budapest,2002,gdp_share,GDP of the metropolitan area as a share of national value,44.86,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Budapest,2003,gdp_share,GDP of the metropolitan area as a share of national value,43.89,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Budapest,2004,gdp_share,GDP of the metropolitan area as a share of national value,44.26,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Budapest,2005,gdp_share,GDP of the metropolitan area as a share of national value,45.12,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Budapest,2006,gdp_share,GDP of the metropolitan area as a share of national value,46.2,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Budapest,2007,gdp_share,GDP of the metropolitan area as a share of national value,46.86,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Budapest,2008,gdp_share,GDP of the metropolitan area as a share of national value,47.35,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Budapest,2009,gdp_share,GDP of the metropolitan area as a share of national value,48.49,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Budapest,2010,gdp_share,GDP of the metropolitan area as a share of national value,48.22,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Budapest,2011,gdp_share,GDP of the metropolitan area as a share of national value,47.65,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Budapest,2012,gdp_share,GDP of the metropolitan area as a share of national value,47.78,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Warsaw,2000,gdp_share,GDP of the metropolitan area as a share of national value,15.28,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Warsaw,2001,gdp_share,GDP of the metropolitan area as a share of national value,15.3,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Warsaw,2002,gdp_share,GDP of the metropolitan area as a share of national value,15.39,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Warsaw,2003,gdp_share,GDP of the metropolitan area as a share of national value,15.39,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Warsaw,2004,gdp_share,GDP of the metropolitan area as a share of national value,15.14,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Warsaw,2005,gdp_share,GDP of the metropolitan area as a share of national value,15.6,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Warsaw,2006,gdp_share,GDP of the metropolitan area as a share of national value,15.77,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Warsaw,2007,gdp_share,GDP of the metropolitan area as a share of national value,15.92,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Warsaw,2008,gdp_share,GDP of the metropolitan area as a share of national value,15.69,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Warsaw,2009,gdp_share,GDP of the metropolitan area as a share of national value,16.07,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Warsaw,2010,gdp_share,GDP of the metropolitan area as a share of national value,16.32,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Warsaw,2011,gdp_share,GDP of the metropolitan area as a share of national value,16.19,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Warsaw,2012,gdp_share,GDP of the metropolitan area as a share of national value,16.45,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Katowice,2000,gdp_share,GDP of the metropolitan area as a share of national value,8.11,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Katowice,2001,gdp_share,GDP of the metropolitan area as a share of national value,8.02,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Katowice,2002,gdp_share,GDP of the metropolitan area as a share of national value,8.31,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Katowice,2003,gdp_share,GDP of the metropolitan area as a share of national value,8.23,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Katowice,2004,gdp_share,GDP of the metropolitan area as a share of national value,8.36,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Katowice,2005,gdp_share,GDP of the metropolitan area as a share of national value,8.03,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Katowice,2006,gdp_share,GDP of the metropolitan area as a share of national value,7.99,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Katowice,2007,gdp_share,GDP of the metropolitan area as a share of national value,7.97,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Katowice,2008,gdp_share,GDP of the metropolitan area as a share of national value,8,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Katowice,2009,gdp_share,GDP of the metropolitan area as a share of national value,7.94,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Katowice,2010,gdp_share,GDP of the metropolitan area as a share of national value,7.84,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Katowice,2011,gdp_share,GDP of the metropolitan area as a share of national value,7.83,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Katowice,2012,gdp_share,GDP of the metropolitan area as a share of national value,7.7,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Bratislava,2000,gdp_share,GDP of the metropolitan area as a share of national value,26.57,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Bratislava,2001,gdp_share,GDP of the metropolitan area as a share of national value,26.25,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Bratislava,2002,gdp_share,GDP of the metropolitan area as a share of national value,26.85,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Bratislava,2003,gdp_share,GDP of the metropolitan area as a share of national value,26.86,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Bratislava,2004,gdp_share,GDP of the metropolitan area as a share of national value,27.02,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Bratislava,2005,gdp_share,GDP of the metropolitan area as a share of national value,29.07,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Bratislava,2006,gdp_share,GDP of the metropolitan area as a share of national value,28.31,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Bratislava,2007,gdp_share,GDP of the metropolitan area as a share of national value,28.83,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Bratislava,2008,gdp_share,GDP of the metropolitan area as a share of national value,28.25,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Bratislava,2009,gdp_share,GDP of the metropolitan area as a share of national value,29.97,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Bratislava,2010,gdp_share,GDP of the metropolitan area as a share of national value,29.81,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Bratislava,2011,gdp_share,GDP of the metropolitan area as a share of national value,29.6,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Bratislava,2012,gdp_share,GDP of the metropolitan area as a share of national value,29.22,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,metropolitan region,Bratislava,2013,gdp_share,GDP of the metropolitan area as a share of national value,29.74,percent,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities
economy,Beogradski region,Belgrade,2009,gdp_share,GDP of the metropolitan area as a share of national value,39.9,percent,Statistical Office of the Republic of Serbia,http://publikacije.stat.gov.rs/G2010/PdfE/G20106008.pdf,
economy,Beogradski region,Belgrade,2013,gdp_share,GDP of the metropolitan area as a share of national value,39.9,percent,Statistical Office of the Republic of Serbia,http://pod2.stat.gov.rs/ObjavljenePublikacije/G2016/pdfE/G201610093.pdf,
economy,Beogradski region,Belgrade,2014,gdp_share,GDP of the metropolitan area as a share of national value,38.7,percent,Statistical Office of the Republic of Serbia,http://pod2.stat.gov.rs/ObjavljenePublikacije/G2016/pdfE/G201610093.pdf,
economy,Beogradski region,Belgrade,2015,gdp_share,GDP of the metropolitan area as a share of national value,39.3,percent,Statistical Office of the Republic of Serbia,http://pod2.stat.gov.rs/ObjavljenePublikacije/G2017/pdfE/G201710098.pdf,
economy,metropolitan region,Prague,2000,gdp_per_capita,GDP per capita (US$),34351.01,US Dollar,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities; reference period: 2010
economy,metropolitan region,Prague,2001,gdp_per_capita,GDP per capita (US$),35640.65,US Dollar,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities; reference period: 2011
economy,metropolitan region,Prague,2002,gdp_per_capita,GDP per capita (US$),36392.18,US Dollar,OECD,https://stats.oecd.org/,go to Regions and Cities / Metrpolitan Areas / GDP from cities; reference period: 2012
